TCGA-A6-6137-01A.11	TCF7L2;TBP;TP53;APC;	MYC_UP;RUVBL1_UP;SMARCC1_UP;DKC1_UP;TCF7_UP;LYAR_UP;RRP9_UP;WDR3_UP;CD3EAP_UP;NR3C1_DOWN;SPIB_DOWN;TAF1_UP;POLR1B_UP;ARID3A_UP;CSE1L_UP;ETS2_UP;NCOA1_DOWN;NDN_DOWN;NGFR_DOWN;P2RX1_DOWN;PEG3_DOWN;POLA1_UP;PRKDC_UP;TP53I3_DOWN;TP53RK_UP;VEGFA_UP;WRN_UP;ARRB1_DOWN;AXIN2_UP;CSNK1E_UP;FZD1_DOWN;	SMARCD3_DOWN;TAF2_UP;	4_31_2	60.4271988497948	55.6387542464365
TCGA-A6-5664-01A.5	MYLK;	PAK6_UP;PRKG2_DOWN;	-;	1_2_0	6.37941060968296	4.60679602497656
TCGA-DM-A1D0-01A.27	KRAS;RYR1;SLC25A5;TBP;TFDP1;EPHA3;ELMO1;THRA;PLS3;TNN;CD24;APC;NEFH;IRF5;MED24;CDC6;ERBB2;RARA;PSMD3;C1S;NMT1;RGS17;TRPC4;	ARHGEF6_DOWN;BCL2_DOWN;BTK_DOWN;DOK2_DOWN;FGFR2_DOWN;FGFR4_UP;KIT_DOWN;MET_UP;NCOA4_DOWN;PIK3CG_DOWN;PIK3R5_DOWN;PTEN_DOWN;PTK2B_DOWN;RASGRP2_DOWN;RASGRP3_DOWN;RASSF2_DOWN;RASSF5_DOWN;RET_DOWN;RGL1_DOWN;RGL2_UP;TEK_DOWN;TIAM1_DOWN;NR3C1_DOWN;SMARCA4_UP;CACNA1D_UP;CACNA1H_DOWN;ITGAL_DOWN;ITGAM_DOWN;KCNMA1_DOWN;PLCE1_DOWN;CD38_DOWN;P2RX1_DOWN;P2RX4_DOWN;CD4_DOWN;VIM_DOWN;KPNA2_UP;GNL3_UP;LYAR_UP;DKC1_UP;EBNA1BP2_UP;CD3EAP_UP;E2F3_UP;FOXF2_DOWN;GTF3A_UP;HMGB1_UP;IKZF1_DOWN;POU2F2_DOWN;RUVBL1_UP;RUVBL2_UP;SNAPC4_UP;SPIB_DOWN;TFDP1_UP;POLR1D_UP;POLR1E_UP;PRKDC_UP;CD79A_DOWN;VIP_DOWN;ATR_UP;TCF7_UP;MAPK7_DOWN;POLR1C_UP;HSP90AB1_UP;NCL_UP;NR3C2_DOWN;NOP2_UP;RRP9_UP;MAP4K4_UP;NME1_UP;PSMA7_UP;MSH2_UP;RANBP1_UP;POLD1_UP;CD36_DOWN;TOP2A_UP;HOXB2_DOWN;BOP1_UP;FBL_UP;TBL3_UP;UTP15_UP;WDR3_UP;AURKA_UP;CCND1_UP;E2F5_UP;E2F6_UP;UBE2I_UP;EZH2_UP;MYBL2_UP;VLDLR_DOWN;IFI16_DOWN;CDK5_UP;ITK_DOWN;GPR183_DOWN;CHL1_DOWN;FAS_DOWN;MTA1_UP;GLIS3_DOWN;HOXB8_UP;CD44_UP;SELPLG_DOWN;SELP_DOWN;ITGB7_DOWN;CD86_DOWN;NCOA1_DOWN;RARG_UP;WRNIP1_UP;L1CAM_DOWN;CD79B_DOWN;DUSP1_DOWN;ITGA2_UP;ITGA8_DOWN;ARRB1_DOWN;AXIN1_UP;AXIN2_UP;BUB3_UP;CSNK2A2_UP;CTNNBIP1_UP;DVL1_UP;FRAT1_DOWN;MAD2L1_UP;PSMA3_UP;PSMB2_UP;PSMB7_UP;PSMD12_UP;PSMD13_UP;PSMD14_UP;PSMD7_UP;HIPK3_DOWN;PEG3_DOWN;FLI1_DOWN;PRPF3_UP;NEFL_DOWN;PRPH_DOWN;MYO5A_DOWN;MYO1C_DOWN;BRCA1_UP;ATRIP_UP;CDC7_UP;DBF4_UP;MCM3_UP;MCM4_UP;GRB7_UP;IGF1_DOWN;IL6ST_DOWN;SPRY4_UP;VEGFA_UP;ETS2_UP;GFRA1_DOWN;TNXB_DOWN;SRPX_DOWN;ABCB1_DOWN;NEDD9_DOWN;S100A8_DOWN;ID4_DOWN;TCF4_DOWN;EFS_DOWN;CLK1_UP;MDFIC_DOWN;TRIM22_DOWN;ANAPC11_UP;ANAPC7_UP;PTTG1_UP;C3_DOWN;BID_UP;CRADD_DOWN;GSN_DOWN;TNFSF10_DOWN;LRDD_UP;SMPD3_DOWN;FHL1_DOWN;S1PR1_DOWN;PRKG2_DOWN;PRKACB_DOWN;	ERBB2_UP;NF1_UP;TP53_DOWN;SLC25A5_DOWN;ABCE1_UP;GTF3C3_UP;HSF1_UP;SNAPC1_UP;SNAPC3_UP;TAF1C_UP;PPID_UP;PTGES3_UP;TRIM28_UP;TRIM24_UP;CCT6A_UP;MCC_DOWN;SMG6_DOWN;CBX3_UP;CHAF1A_UP;HOXB3_UP;SMAD4_DOWN;EIF4A3_UP;SSB_UP;RARA_UP;THRA_UP;CBX1_UP;CBX5_UP;BTG1_DOWN;CHAF1B_UP;HOXB9_UP;MEIS1_DOWN;PUF60_UP;CBX4_UP;HDAC8_UP;SUV39H1_UP;TFDP2_UP;MED24_UP;MED30_UP;MED4_UP;CBFA2T3_DOWN;EZH1_UP;SUZ12_UP;HDAC9_DOWN;MED27_UP;MED25_UP;PNN_UP;BMX_DOWN;EFNA5_DOWN;EPHA4_DOWN;HOXA9_UP;PTPN21_DOWN;EPHA1_UP;EPHA7_DOWN;ARHGEF15_DOWN;ANK3_DOWN;MEIS2_DOWN;CD37_DOWN;CD48_DOWN;CORO1A_DOWN;FAIM3_DOWN;GMFG_DOWN;IL16_DOWN;NCAM1_DOWN;ELMO1_DOWN;DOCK2_DOWN;MSN_DOWN;ALOX5AP_DOWN;LST1_DOWN;ICAM1_DOWN;ICAM3_DOWN;RDX_DOWN;SPN_DOWN;SRGN_DOWN;VCAM1_DOWN;CD300A_DOWN;SNAI2_DOWN;SELL_DOWN;LCP1_DOWN;MADCAM1_DOWN;PLEK_DOWN;CAV2_DOWN;MAP4K1_DOWN;BIN2_DOWN;PSMD3_UP;SIAH2_UP;TBL1XR1_UP;CACYBP_UP;CDC6_UP;ETV4_UP;MATK_DOWN;PDGFC_DOWN;PDGFD_DOWN;VEGFB_DOWN;BCHE_DOWN;HPGD_DOWN;HPSE_DOWN;PTGS2_DOWN;TIMP2_DOWN;PLAT_DOWN;EPAS1_DOWN;NRP1_DOWN;SERPING1_DOWN;FGF7_DOWN;PLXNA1_UP;C1S_DOWN;MASP1_DOWN;HES1_UP;PNRC1_DOWN;RARRES3_DOWN;RBP1_UP;SERPINF1_DOWN;HES6_UP;ID1_UP;FABP1_DOWN;CDC27_UP;RPN2_UP;SEC11C_DOWN;SRP19_UP;SRPRB_UP;TRAM2_DOWN;PLCB2_DOWN;EDNRB_DOWN;ITPR2_DOWN;ITPKA_DOWN;	23_172_124	1709.65704334655	785.781579322622
TCGA-DM-A1D0-01A.6	KCNN3;	KCNN4_UP;	-;	1_1_0	2.05864586446821	2.05864586446821
TCGA-DM-A1D0-01A.21	RBMY1A1;	KHDRBS3_UP;	-;	1_1_0	1.92689480838043	1.92689480838043
TCGA-DM-A1D0-01A.24	PCDHGA5;	CDH24_UP;CELSR1_UP;PCDH18_DOWN;PCDH7_DOWN;PCDHGB7_DOWN;SVEP1_DOWN;	-;	1_6_0	19.8967773543462	17.9328762081415
TCGA-DM-A1D0-01A.13	DAZ4;	DZIP1_DOWN;	-;	1_1_0	3.63384390715638	3.63384390715638
TCGA-G4-6307-01A.3	DAZ4;	DZIP1_DOWN;QKI_DOWN;	-;	1_2_0	6.24480852891508	4.95947631468206
TCGA-G4-6307-01A.2	NID1;	FBLN2_DOWN;LAMA1_DOWN;MATN2_DOWN;MMRN1_DOWN;DCN_DOWN;MFAP2_UP;	FBLN1_DOWN;FMOD_DOWN;	1_6_2	60.53298459463	27.9199283486565
TCGA-G4-6307-01A.8	RBMY1A1;	KHDRBS3_UP;	-;	1_1_0	4.93131519559737	2.10023202454767
TCGA-G4-6307-01A.1	KCNQ5;	PRKG2_DOWN;	-;	1_1_0	76.7689451496777	4.03075377779813
