MYOG	1	
MYST4	4	
NAP1L1	1	
NBN	1	
NCAPG	2	
NCAPH	1	
NCF1	6	
NCL	1	
NDN	1	
NEFH	1	
NEK2	2	
NF1	18	
NFATC1	1	
NFKBIA	1	
NGF	2	
NID1	1	
NKX3-2	1	
NLRP12	1	
NOD1	4	
NOS1	6	
NOS3	9	
NRXN1	3	
NTRK1	1	
NTRK3	1	
NUMA1	3	
NXF1	1	
P2RX2	1	
PARP1	2	
PCDH11X	6	
PCDH11Y	61	
PCDH15	9	
PCDH19	6	
PCDH24	1	
PCDH7	4	
PCDH9	5	
PCDHA8	4	
PCDHA9	8	
PCDHAC2	33	
PCDHB13	4	
PCDHB2	1	
PCDHB4	2	
PCDHB5	1	
PCDHB6	2	
PCDHB7	5	
PCDHGC5	35	
PCM1	2	
PDGFD	2	
PDGFRA	18	
PDGFRB	3	
PGR	5	
PIK3C2B	17	
PIK3C2G	9	
PIK3CA	30	
PIK3CB	3	
PIK3CD	4	
PIK3CG	12	
PIK3R1	30	
PIK3R5	1	
PIM1	2	
PIP5K1C	1	
PLAT	1	
PLAU	7	
PLCB1	1	
PLCG1	4	
PLCG2	3	
PLCZ1	1	
PLG	3	
POLA1	1	
POLR2A	2	
POU2F1	2	
PPARA	3	
PPARG	1	
PPIA	6	
PPP1CC	1	
PPP1R1A	1	
PPP2R1B	1	
PPP2R5D	1	
PPP3CB	6	
PPP3CC	1	
PRKACG	1	
PRKCA	2	
PRKCB	3	
PRKCD	3	
PRKCG	2	
PRKCQ	5	
PRKDC	7	
PRKX	2	
PRKY	53	
PSIP1	3	
PSMA2	5	
PSMA5	1	
PSMB8	2	
PSMC2	2	
PSMD13	3	
PSMD4	1	
PTBP1	1	
PTEN	95	
PTK2B	2	
PTPN11	4	
PTPN6	3	
PTPRB	7	
PTPRC	2	
PTPRM	1	
PXN	2	
RAB3GAP2	4	
RABIF	2	
RAC1	2	
RAD21	1	
RAD50	2	
RAF1	1	
RALA	4	
RALGDS	2	
RAN	1	
RASA1	1	
RASGRF1	3	
RASSF5	1	
RB1	22	
RBBP4	1	
RBMX	1	
RECQL	1	
RECQL5	2	
RELN	9	
RERE	6	
RFC4	2	
RIMS2	11	
RNF8	2	
ROCK2	2	
RPA2	2	
RPN1	1	
RRM2	2	
RUVBL2	2	
RYR1	4	
RYR2	17	
RYR3	13	
S100A8	2	
SCML2	2	
SDC2	1	
SDCCAG8	4	
SEC61G	53	
SFI1	2	
SFN	1	
SGCB	1	
SGOL1	1	
SGOL2	3	
SH3GL3	2	
SHANK3	2	
SHB	4	
SLC18A2	6	
SLC26A8	4	
SLC6A3	6	
SLIT3	2	
SMAD4	2	
SMARCA2	5	
SMARCA4	1	
SMARCC2	5	
SMC1A	4	
SMC3	5	
SMO	3	
SOS1	1	
SP1	1	
SPN	1	
SRC	2	
SREBF1	1	
SRI	5	
SRPK1	3	
SRPR	1	
SSRP1	1	
STAT1	2	
STAT3	1	
STAT6	7	
STX1A	5	
STXBP1	2	
SVEP1	4	
SYNJ1	2	
SYNJ2	2	
SYT1	2	
TAP1	1	
TARDBP	2	
TBL1Y	22	
TCF12	3	
TCF7L2	7	
TEK	11	
TES	3	
TFAP2B	1	
TGFBI	1	
TGFBR1	2	
TJP1	3	
TLE2	1	
TNC	4	
TP53	93	
TPX2	1	
TRPV6	3	
TSC2	4	
TTN	17	
TUBA3C	2	
TUBA4B	1	
TUBG1	2	
TUBG2	1	
TUBGCP5	2	
TYK2	4	
VAMP1	2	
VAMP3	4	
VAMP7	3	
VASP	1	
VAV1	3	
VAV2	3	
VCAN	3	
VEGFA	4	
VLDLR	2	
WEE2	4	
XIAP	1	
XRCC2	5	
YWHAH	1	
ZNF212	4	
ZNF274	1	
ZNF3	3	
ZWINT	4	
