TCGA-62-A472-01A.11	PTPRF;TP53;CACNA1I;MAP1A;	CAV1_DOWN;MMRN1_DOWN;PLAU_UP;PTPRM_DOWN;BDNF_DOWN;ERBB4_DOWN;SPTB_UP;AQP1_DOWN;ATF3_DOWN;CABLES1_DOWN;CDC14A_DOWN;DHCR24_DOWN;DUSP1_DOWN;GADD45B_DOWN;KLF4_DOWN;KLF6_DOWN;MAPK10_DOWN;MKI67_UP;MNDA_DOWN;NFATC4_UP;P2RX1_DOWN;PEG3_DOWN;PLAGL1_DOWN;PMAIP1_UP;RRM2_UP;S100A4_DOWN;S100A8_DOWN;SESN1_DOWN;SORT1_DOWN;TBX2_DOWN;TBXAS1_DOWN;TFRC_DOWN;TOP2A_UP;AQP4_DOWN;RYR2_DOWN;MCM4_UP;APH1B_DOWN;NOTCH4_DOWN;TBX3_DOWN;TBX4_DOWN;TBX5_DOWN;AQP5_DOWN;DMD_DOWN;RASGRF1_DOWN;RASGRP2_DOWN;RASGRP4_DOWN;LPL_DOWN;C8B_DOWN;C7_DOWN;CFP_DOWN;	NID1_DOWN;PTPRA_DOWN;PTPRD_DOWN;SHC2_DOWN;FBLN1_DOWN;CNN1_DOWN;CTGF_DOWN;ELN_DOWN;FMOD_DOWN;GAS1_DOWN;PTGIS_DOWN;PTRF_DOWN;TAGLN_DOWN;TIMP3_DOWN;LMOD1_DOWN;MYL9_DOWN;TGFB1I1_DOWN;CRIM1_DOWN;CYR61_DOWN;SPON1_DOWN;TGFBR3_DOWN;DCN_DOWN;EFEMP2_DOWN;PALLD_DOWN;MYH10_DOWN;ENG_DOWN;PLSCR4_DOWN;TP53_DOWN;MAP1B_DOWN;GPM6B_DOWN;VLDLR_DOWN;CD36_DOWN;LDLR_DOWN;LRPAP1_DOWN;CD9_DOWN;HSD11B1_DOWN;LDLRAP1_DOWN;CD59_DOWN;CD81_DOWN;CD82_DOWN;HBEGF_DOWN;TSPAN4_DOWN;	4_50_42	544.513320570671	282.603757900367
TCGA-55-8205-01A.22	NRCAM;PTPRZ1;	CNTN1_DOWN;CNTN6_DOWN;TNC_UP;	-;	2_3_0	12.7340977330824	11.1843184600469
TCGA-55-8205-01A.46	ALK;CDH12;AKAP9;PRKCG;PCDHAC2;PRKD1;MDC1;IGF1R;TGFBR1;PCDH10;PCDHB16;TRAF6;HGF;PCDHB3;PCDHGC5;POLE;STAT1;MCM6;DCHS1;TP53;NFIC;HTT;ESR1;PCDHB7;PRKDC;COL6A3;COL1A1;VEGFB;ITGAX;F12;COL4A5;	MDK_UP;LIG1_UP;BRCA1_UP;KPNA2_UP;MSH2_UP;MSH6_UP;PRKDC_UP;CDH1_UP;CDH26_DOWN;CDH3_UP;PCDH7_UP;ERBB4_DOWN;FGFR2_DOWN;FGFR3_DOWN;FGFR4_DOWN;ITGB4_UP;TOP2A_UP;H2AFZ_UP;CBX3_UP;IFI16_UP;EPHB2_UP;FHL2_UP;PAK1_UP;FIGF_DOWN;GRB10_UP;TGFA_UP;BDNF_DOWN;EIF2AK2_UP;CSE1L_UP;PLAU_UP;MCM4_UP;MCM6_UP;NFYA_UP;TYMS_UP;DHFR_UP;AIFM2_UP;AQP1_DOWN;BRCC3_UP;COPS6_UP;NME1_UP;PMAIP1_UP;RNF34_UP;RRM2_UP;STEAP3_UP;THRB_DOWN;TK1_UP;UBE2K_UP;AQP4_DOWN;RRM1_UP;LAMC2_UP;LIMS2_DOWN;COL4A5_DOWN;COL5A2_UP;	NCL_UP;STAT1_UP;DKC1_UP;NSUN2_UP;SSB_UP;EIF4A3_UP;LYAR_UP;NOP2_UP;RAD9A_UP;RRP9_UP;SR140_UP;MAGOHB_UP;EBNA1BP2_UP;GNL3_UP;MTDH_UP;DDX56_UP;FBL_UP;PDCD11_UP;FEN1_UP;RFC2_UP;RFC3_UP;RFC4_UP;RFC5_UP;TOPBP1_UP;IMP4_UP;UTP15_UP;WDR3_UP;WDR36_UP;ABCE1_UP;DHX37_UP;DHX57_UP;MRPS24_UP;FTSJ1_UP;GAR1_UP;NOLC1_UP;POLD1_UP;POLD2_UP;POLD3_UP;MRE11A_UP;POLE_UP;MPHOSPH10_UP;MRPL12_UP;CHAF1A_UP;WRNIP1_UP;DCLRE1C_UP;H2AFX_UP;MDC1_UP;RAD50_UP;RBBP8_UP;BAZ1B_UP;SUPT16H_UP;TCERG1_UP;NAP1L4_UP;OBFC2B_UP;RINT1_UP;CALR_UP;ETV7_UP;FUBP1_UP;KHSRP_UP;PSTPIP1_UP;CD2AP_UP;SET_UP;HMGB2_UP;H1F0_UP;LBR_UP;ACTR3_UP;SP100_UP;TRIM24_UP;ARPC1A_UP;ARPC1B_UP;WASL_UP;HIPK2_UP;SP110_UP;SP140_UP;NR3C2_DOWN;ARPC5L_UP;EFNB2_UP;PRKD1_DOWN;IPO7_UP;RANBP1_UP;DARS_UP;IPO4_UP;IPO5_UP;TNPO1_UP;RCC1_UP;EEF1E1_UP;GARS_UP;IARS_UP;MARS_UP;RARS_UP;KPNA4_UP;ILF3_UP;XPO5_UP;TARS_UP;PTPN13_DOWN;ST14_UP;F2RL1_UP;CIITA_UP;RFX5_UP;CTPS_UP;GAPDH_UP;NR2F6_UP;ASNS_UP;ATIC_UP;CAD_UP;CTPS2_UP;GMPS_UP;PRPS2_UP;ENO1_UP;GPD1_DOWN;GPI_UP;PGK1_UP;PKM2_UP;RAB2A_UP;TPI1_UP;MTHFD1_UP;MTHFD1L_UP;PPAT_UP;IMPDH2_UP;HPRT1_UP;PPIF_UP;HK1_UP;CHIA_DOWN;MTHFD2_UP;SHMT2_UP;UMPS_UP;IMPDH1_UP;VDAC1_UP;ENO2_UP;BCL2L11_UP;VDAC2_UP;MBP_UP;PTMA_UP;ANP32B_UP;RIPK3_UP;AIFM1_UP;	31_53_136	928.680874901688	425.037706469833
TCGA-55-8205-01A.29	RYR3;RYR1;CACNA1B;	CACNA1D_DOWN;CACNA2D2_DOWN;RASGRF1_DOWN;	-;	3_3_0	8.00675211157729	8.00675211157729
TCGA-55-8205-01A.25	DSC3;	PKP3_UP;DSC2_UP;DSG2_UP;	-;	1_3_0	14.5922204891365	8.82059745596445
TCGA-55-8205-01A.39	PLXNA4;	SEMA6D_DOWN;	-;	1_1_0	11.6789752074903	2.51277376273637
TCGA-55-8205-01A.15	PRKAR2A;	PRKG2_DOWN;	-;	1_1_0	69.905914564828	3.54677081583415
TCGA-55-8205-01A.8	CDKN2A;	FOXM1_UP;	-;	1_1_0	42.4944541212657	5.13512727705141
TCGA-55-8205-01A.31	GRIA1;GRIN2A;	GRIA1_DOWN;	-;	2_1_0	13.2659739503118	4.18049902122794
TCGA-86-7713-01A.17	GTF3C4;	BRF1_UP;GTF3C5_UP;	GTF3C4_UP;BDP1_UP;GTF3C1_UP;GTF3C2_UP;GTF3C3_UP;SNAPC4_UP;ZNF143_UP;	1_2_7	35.7263515500744	19.1216955882405
TCGA-86-7713-01A.3	AQP4;	AQP1_DOWN;	-;	1_1_0	9.38568651484933	2.36797945361621
